source_id,record_id,GroupID
MRDS,10012134,101
MRDS,10012410,765
MRDS,10012413,2398
MRDS,10012444,253
MRDS,10012599,4683
MRDS,10012632,3264
MRDS,10012898,1297
MRDS,10012975,467
MRDS,10013085,4141
MRDS,10013086,779
MRDS,10013087,2350
MRDS,10013089,2655
MRDS,10013090,1286
MRDS,10013091,1286
MRDS,10013092,3455
MRDS,10013093,5155
MRDS,10013094,2006
MRDS,10013095,4290
MRDS,10013096,2393
MRDS,10013099,1567
MRDS,10013100,95
MRDS,10013101,4778
MRDS,10013103,1286
MRDS,10013104,1871
MRDS,10013105,242
MRDS,10013106,2265
MRDS,10013107,3321
MRDS,10013108,3046
MRDS,10013109,2464
MRDS,10013110,1383
MRDS,10013111,1383
MRDS,10013112,1383
MRDS,10013113,4828
MRDS,10013114,801
MRDS,10013210,4082
MRDS,10013221,2504
MRDS,10013307,585
MRDS,10013311,1169
MRDS,10013358,5067
MRDS,10013434,341
MRDS,10013617,2147
MRDS,10013618,2504
MRDS,10013621,1224
MRDS,10013624,5222
MRDS,10013700,3693
MRDS,10013703,1487
MRDS,10013704,4885
MRDS,10013706,168
MRDS,10013753,187
MRDS,10013767,1681
MRDS,10013771,1353
MRDS,10013783,661
MRDS,10013784,767
MRDS,10013786,4201
MRDS,10013787,4533
MRDS,10013788,4682
MRDS,10013790,4817
MRDS,10013792,140
MRDS,10013793,3234
MRDS,10013795,4828
MRDS,10013945,4072
MRDS,10013953,2444
MRDS,10013954,2030
MRDS,10013955,2358
MRDS,10013964,727
MRDS,10013966,2822
MRDS,10013967,190
MRDS,10013968,1083
MRDS,10013969,5223
MRDS,10013971,1523
MRDS,10013973,4097
MRDS,10013995,5224
MRDS,10014066,3441
MRDS,10014069,5116
MRDS,10014108,5225
MRDS,10014313,3789
MRDS,10014314,2909
MRDS,10014315,1559
MRDS,10014316,4580
MRDS,10014317,3852
MRDS,10014318,303
MRDS,10014319,4330
MRDS,10014320,2733
MRDS,10014321,4834
MRDS,10014322,1964
MRDS,10014323,1547
MRDS,10014324,4860
MRDS,10014325,4311
MRDS,10014326,3851
MRDS,10014327,3496
MRDS,10014328,4987
MRDS,10014329,3724
MRDS,10014330,1769
MRDS,10014331,2687
MRDS,10014332,1994
MRDS,10014333,3689
MRDS,10014334,5048
MRDS,10014335,741
MRDS,10014336,1792
MRDS,10014337,4007
MRDS,10014338,3297
MRDS,10014339,149
MRDS,10014340,628
MRDS,10014341,3698
MRDS,10014342,2552
MRDS,10014343,3424
MRDS,10014344,4663
MRDS,10014345,2637
MRDS,10014346,4022
MRDS,10014347,3973
MRDS,10014348,5226
MRDS,10014349,1517
MRDS,10014350,562
MRDS,10014351,3928
MRDS,10014352,2678
MRDS,10014353,5227
MRDS,10014354,796
MRDS,10014355,1018
MRDS,10014356,5228
MRDS,10014357,277
MRDS,10014358,2650
MRDS,10014359,72
MRDS,10014360,2422
MRDS,10014361,889
MRDS,10014362,1254
