ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__cosmic-boy-seagull,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__cosmic-boy-seagull
https://minmod.isi.edu/resource/site__taylor-nickel__mrdata-usgs-gov-mrds__10283671,https://minmod.isi.edu/resource/site__taylor-nickel__mrdata-usgs-gov-mrds__10283671
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__bafokeng-rasimone,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__bafokeng-rasimone
https://minmod.isi.edu/resource/site__unnamed-occurrence__mrdata-usgs-gov-mrds__10161317,https://minmod.isi.edu/resource/site__unnamed-occurrence__mrdata-usgs-gov-mrds__10161317
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__leinster-tailings,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__leinster-tailings
https://minmod.isi.edu/resource/site__nepoui-mine__mrdata-usgs-gov-mrds__10085269,https://minmod.isi.edu/resource/site__nepoui-mine__mrdata-usgs-gov-mrds__10085269
https://minmod.isi.edu/resource/site__portersfield-prospect__mrdata-usgs-gov-mrds__10169799,https://minmod.isi.edu/resource/site__portersfield-prospect__mrdata-usgs-gov-mrds__10169799
https://minmod.isi.edu/resource/site__ernest-miller-prospect__mrdata-usgs-gov-mrds__10155868,https://minmod.isi.edu/resource/site__ernest-miller-prospect__mrdata-usgs-gov-mrds__10155868
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__carr-boyd,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__carr-boyd
https://minmod.isi.edu/resource/site__bulong__mrdata-usgs-gov-laterite__3,https://minmod.isi.edu/resource/site__bulong__mrdata-usgs-gov-laterite__3
https://minmod.isi.edu/resource/site__cikatova-deposit__mrdata-usgs-gov-mrds__10231013,https://minmod.isi.edu/resource/site__cikatova-deposit__mrdata-usgs-gov-mrds__10231013
https://minmod.isi.edu/resource/site__ralston-buttes-district__mrdata-usgs-gov-mrds__10087816,https://minmod.isi.edu/resource/site__ralston-buttes-district__mrdata-usgs-gov-mrds__10087816
https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__287__west-musgrave-nebo-babel,https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__287__west-musgrave-nebo-babel
https://minmod.isi.edu/resource/site__sultana-mine__mrdata-usgs-gov-mrds__10038432,https://minmod.isi.edu/resource/site__sultana-mine__mrdata-usgs-gov-mrds__10038432
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__ba,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__ba
https://minmod.isi.edu/resource/site__unnamed-in-the-yenlo-hills__doi-org-10-5066-p96mmrfd__tl075,https://minmod.isi.edu/resource/site__unnamed-in-the-yenlo-hills__doi-org-10-5066-p96mmrfd__tl075
https://minmod.isi.edu/resource/site__marlborough__mrdata-usgs-gov-laterite__7,https://minmod.isi.edu/resource/site__marlborough__mrdata-usgs-gov-laterite__7
https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__ravensthorpe,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__ravensthorpe
https://minmod.isi.edu/resource/site__ravensthorpe__mrdata-usgs-gov-mrds__10039197,https://minmod.isi.edu/resource/site__10-5382-econgeo-4950__ravensthorpe
https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1105__vaaralampi,https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1105__vaaralampi
https://minmod.isi.edu/resource/site__vammala-mine__mrdata-usgs-gov-mrds__10106907,https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1105__vaaralampi
https://minmod.isi.edu/resource/site__vammala-mine__mrdata-usgs-gov-mrds__10024515,https://minmod.isi.edu/resource/site__10-5382-econgeo-2018-4590__1105__vaaralampi
